# from Hogg, Bovy, Lang arXiv:1008.4686
# Data for fitting exercises
# ID, x, y, sigy, sigx, rhoxy
[
[  1.0, 201.0, 592.0, 61.0,  9.0, -0.84],
[  2.0, 244.0, 401.0, 25.0,  4.0,  0.31],
[  3.0,  47.0, 583.0, 38.0, 11.0,  0.64],
[  4.0, 287.0, 402.0, 15.0,  7.0, -0.27],
[  5.0, 203.0, 495.0, 21.0,  5.0, -0.33],
[  6.0,  58.0, 173.0, 15.0,  9.0,  0.67],
[  7.0, 210.0, 479.0, 27.0,  4.0, -0.02],
[  8.0, 202.0, 504.0, 14.0,  4.0, -0.05],
[  9.0, 198.0, 510.0, 30.0, 11.0, -0.84],
[ 10.0, 158.0, 416.0, 16.0,  7.0, -0.69],
[ 11.0, 165.0, 393.0, 14.0,  5.0,  0.3 ],
[ 12.0, 201.0, 442.0, 25.0,  5.0, -0.46],
[ 13.0, 157.0, 317.0, 52.0,  5.0, -0.03],
[ 14.0, 131.0, 311.0, 16.0,  6.0,  0.5 ],
[ 15.0, 166.0, 400.0, 34.0,  6.0,  0.73],
[ 16.0, 160.0, 337.0, 31.0,  5.0, -0.52],
[ 17.0, 186.0, 423.0, 42.0,  9.0,  0.9 ],
[ 18.0, 125.0, 334.0, 26.0,  8.0,  0.4 ],
[ 19.0, 218.0, 533.0, 16.0,  6.0, -0.78],
[ 20.0, 146.0, 344.0, 22.0,  5.0, -0.56]
]
